LOJA;NOME;INAUGURACAO;AREA_LOJA;ENDERECO;CIDADE;UF;REGIAO;PAIS
TIET-SP;Marginal Tietê;01/08/2002;2.961;Av. Presidente Castelo Branco, 1795;São Paulo;SP;Sudeste;BRASIL
DOMP-SP;Dom Pedro;01/10/2005;1.501;Av. Guilherme Campos, 500 - Shopping Parque Dom Pedro;Campinas;SP;Sudeste;BRASIL
ALPH-SP;Alphaville;01/02/2006;1.158;Av. Alphaville, 580;Barueri;SP;Sudeste;BRASIL
IPIR-SP;Ipiranga;01/03/2007;655;Av. Presidente Tancredo Neves, 600;São Paulo;SP;Sudeste;BRASIL
SBCA-SP;São Bernardo;01/04/2007;994;Av. Rotary, 825 - Junto Ao Center Castilho;São Bernardo do Campo;SP;Sudeste;BRASIL
MOGI-SP;Mogi das Cruzes;01/04/2008;760;Av. Francisco Rodrigues Filho, 1550;Mogi das Cruzes;SP;Sudeste;BRASIL
WLUI-SP*;Washington Luís;04/09/2009;724;Av. Washington Luís, 2737;São Paulo;SP;Sudeste;BRASIL
GRLH-SP;Guarulhos;01/10/2010;1.519;Av. Guarulhos, 2598;Guarulhos;SP;Sudeste;BRASIL
MCCO-SP;Santos Macuco;01/12/2010;3.076;Rua Dr. Manoel Tourinho, 385;Santos;SP;Sudeste;BRASIL
SCBA-SP;Sorocaba;01/06/2011;1.517;Av. Dom Aguirre, 2121;Sorocaba;SP;Sudeste;BRASIL
ARIC-SP;Aricanduva;09/08/2011;1.643;Av. Rio Das Pedras, 2207 - Junto A Telha Norte;São Paulo;SP;Sudeste;BRASIL
LTPL-SP;Litoral Plaza;01/12/2011;1.000;Av. Ayrton Senna Da Silva, 1511 - Litoral Plaza Shopping;Praia Grande;SP;Sudeste;BRASIL
STCE-SP;Santa Cecília;26/04/2012;889;Av. General Olímpio Da Silveira, 68;São Paulo;SP;Sudeste;BRASIL
LMAO-SP;Limão;20/09/2012;1.562;Av. Otaviano Alves De Lima, 1480;São Paulo;SP;Sudeste;BRASIL
